PWS_NAME,PWSID,WDCODE,SOURCE,CONNECTIONS,TYPE,AREA,OWNERSHIP,Shape_STAr,Shape_STLe,Basin_count,BasinNo,AB3030,ABTOC,Abmonth,SB1938,SBTOC,Sbmonth,no.irwms,IWRM,MPTOC1,name.irwm1,IRWMorg1,MPTOC2,name.irwmp2,IRWMorg2,MPTOC3,name.irwmp3,IRWMorg3,member
Malaga County Water District,1010042,1530,Groundwater,597,Community,Residential Area,Local,5920715.191,25201.91457,26,5-22.07,0,NA,NA,1,12/1/2006,59,1,1,10/17/2012,Kings Basin,17,,,NA,,,,600000
Mammoth Community Water District,2610001,1533,Surface Water,3722,Community,Residential Area,Local,15036304.37,22320.49415,NA,NA,0,NA,NA,1,7/28/2005,NA,1,1,12/15/2010,Inyo-Mono,32,,,NA,,,,NA
Manhattan Beach  City Of,1910083,1536,Surface Water Purchased,13485,Community,Residential Area,Local,10201459.76,14609.74371,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Manila Community Services District,1210017,1537,Groundwater Purchased,351,Community,Other Area,State Government,6075548.226,16193.13373,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Manteca  City Of,3910005,1539,Surface Water Purchased,19759,Community,Residential Area,Local,39093335.49,59038.73223,NA,NA,0,NA,NA,0,NA,NA,1,1,7/25/2007,Eastern San Joaquin,13,,,NA,,,,NA
Manzanita Hills Water Authority,NA,1540,NA,NA,NA,NA,NA,408237.1823,4214.802197,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mariana Ranchos County Water District,3610030,1545,Groundwater,420,Community,Residential Area,Local,19822546.85,29377.45399,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Marin Municipal Water District,2110002,1546,Surface Water,61257,Community,Wholesaler (Sells Water),Local,390279570.2,141318.186,NA,NA,0,NA,NA,0,NA,NA,2,1,11/1/2006,Bay Area,19,,,NA,,,,NA
Marina Coast Water District,2710017,1547,Groundwater,8162,Community,Residential Area,Local,8306605.742,14911.21176,NA,NA,0,NA,NA,0,NA,NA,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,6,
Mariposa County Water Agency,NA,1552,NA,NA,NA,NA,NA,1252555.768,5072.981626,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mariposa Public Utility District,2210001,NA,Surface Water,652,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Martinez  City Of,710006,1554,Surface Water Purchased,9846,Community,Residential Area,Local,39625618.36,52393.20935,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Marysville  City Of,NA,1558,NA,NA,NA,NA,NA,8245548.149,13686.77562,NA,NA,0,NA,NA,0,NA,NA,,1,2/1/2008,Yuba County,27,,,NA,,,,NA
Maxwell Irrigation District,NA,1561,NA,NA,NA,NA,NA,96641.67188,8520.795338,57,5-21.52,1,5/25/2004,NA,0,NA,NA,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,29
Maxwell Public Utility District,610003,1562,Groundwater,392,Community,Other Area,Local,960413.469,5656.223246,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mcallister Ranch Irrigation District,NA,4017,NA,NA,NA,NA,NA,8409911.382,14196.58012,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mccloud Community Service District,4710006,1568,Groundwater,641,Community,Residential Area,Local,6512376.96,15161.37619,NA,NA,0,NA,NA,0,NA,NA,1,1,11/25/2013,"Upper Sacramento, McCloud, and Lower Pit",16,,,NA,,,,NA
Mcfarland  City Of,1510013,1569,Groundwater,2455,Community,Residential Area,Local,5488011.579,15352.90967,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Mckinleyville Community Services District,1210016,1570,Groundwater Purchased,5315,Community,Other Area,Local,51335343.17,33909.09825,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Mckinney Water District,3110022,4193,Groundwater,240,Community,Residential Area,Local,591716.1915,25892.69819,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Meadow Vista County Water District,3110009,4224,Surface Water,1418,Community,Residential Area,Local,16090332.49,25048.99272,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Meiners Oaks Water District,5610005,1581,Surface Water Purchased,1254,Community,Residential Area,Local,5660160.611,17450.12708,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Melga Water District,NA,1582,NA,NA,NA,NA,NA,290756926.1,217031.6963,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mendota  City Of,1010021,1585,Groundwater,1911,Community,Residential Area,Local,5156820.029,13135.22518,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Menlo Park City Municipal Water District,4110017,1588,Surface Water Purchased,4275,Community,Residential Area,Local,8098976.451,14392.66292,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Merced  City Of,2410009,1589,Groundwater,21127,Community,Residential Area,Local,38200035.15,64055.29565,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Merced Area Groundwater Pool Interests (MAGPI),NA,NA,NA,NA,NA,NA,NA,NA,NA,23,5-22.04,1,11/4/1997,58,1,4/26/2004,NA,10/8/2013,1,8/1/2013,Merced,7,,,NA,,,,NA
Merced Irrigation District,NA,1591,NA,NA,NA,NA,NA,628064679.6,397310.0006,NA,NA,1,10/14/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mercy Springs Water District,NA,1592,NA,NA,NA,NA,NA,14605593.25,21621.50685,NA,NA,0,NA,NA,0,NA,NA,1,1,7/9/2014,Westside-San Joaquin,25,,,NA,,,,NA
Meridian  Town Of,NA,2840,NA,NA,NA,NA,NA,450569.0698,2993.001108,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Merquin County Water District,NA,1595,NA,NA,NA,NA,NA,45646508.21,40883.91492,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mesa Consolidated Water District,NA,1596,NA,NA,NA,NA,NA,42248153.74,39160.90003,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Mesa Water District,3010004,1597,Surface Water Purchased,23343,Community,Residential Area,Local,8353354.109,13970.38312,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Metropolitan Water District Of Southern California,1910087,1599,Surface Water,378,Community,Wholesaler (Sells Water),State Government,13625830239,2318412.308,NA,NA,0,NA,NA,0,NA,NA,1,1,12/13/2006,Greater Los Angeles County,16,,,NA,,,,NA
Mettler County Water District,1500401,1600,Groundwater,43,Community,Residential Area,Local,254344.6997,3735.863994,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Mid-peninsula Water District,4110001,NA,Surface Water Purchased,7965,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mid-valley Water District,NA,1606,NA,NA,NA,NA,NA,51636114.22,41425.88277,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Midway Community Services District,NA,1608,NA,NA,NA,NA,NA,2739976.946,8481.136625,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Midway Heights County Water District,3110041,1609,Surface Water Purchased,418,Community,Residential Area,Local,10459387.56,17816.23303,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Millbrae  City Of,4110018,1613,Surface Water Purchased,6397,Community,Residential Area,Local,8451823.578,16126.09278,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Millview County Water District,2310006,1618,Surface Water,1496,Community,Residential Area,Local,38975715.97,38915.42446,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Milpitas  City Of,4310005,1619,Surface Water Purchased,15869,Community,Residential Area,Local,35301883.67,48052.13624,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mineral County Water District,NA,1621,NA,NA,NA,NA,NA,340200.218,3017.862718,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Miranda Community Service District,1200707,1622,Groundwater,143,Community,Residential Area,Local,1231364.493,5328.965629,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mission Hills Community Service District,4210019,1625,Groundwater,1230,Community,Residential Area,Local,3917526.843,11385.54605,NA,NA,0,NA,NA,0,NA,NA,1,1,5/1/2007,Santa Barbara County,35,,,NA,,,,NA
Mission Springs Water District,3310008,1626,Groundwater,12583,Community,Residential Area,Local,342429956.5,98231.95689,NA,NA,0,NA,NA,0,NA,NA,1,1,12/14/2010,Coachella Valley,5,,,NA,,,,NA
Modesto  City Of,5010010,1631,Surface Water Purchased & Groundwater,74800,Community,Residential Area,Local,53451813.54,161641.656,NA,NA,1,10/14/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Modesto Irrigation District,5010038,1632,Surface Water,1,Community,Wholesaler (Sells Water),Local,410843773.1,331619.6406,NA,NA,1,3/26/1996,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mojave Public Utilities District,1510014,1633,Surface Water,1307,Community,Residential Area,Local,51673289.55,126499.1706,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mojave River County Water District,NA,1634,NA,NA,NA,NA,NA,260093575.1,133151.1112,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mojave Water Agency,3610129,1635,Groundwater,4,Community,Wholesaler (Sells Water),Local,1177639849,176209.0793,110,Jun-40,0,NA,NA,1,9/1/2004,NA,1,1,2/24/2005,Mojave,5,,,NA,,,,NA
Monrovia  City Of,1910090,1639,Surface Water Purchased,9351,Community,Residential Area,Local,34759960.44,33878.68124,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Montague  City Of,4710007,1640,Surface Water,504,Community,Recreation Area,Local,74937722.28,134191.4863,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Montague Water Conservation District,NA,1641,NA,NA,NA,NA,NA,74936150.98,134190.1055,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Montara Water And Sanitary District,4110010,4232,Surface Water,1641,Community,Residential Area,Local,15121759.14,25804.48987,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Monte Vista Water District,3610029,2889,Surface Water Purchased,11602,Community,Residential Area,Local,24717660.18,28855.83707,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Montebello  City Of,1910117,1643,Surface Water Purchased,1500,Community,Residential Area,Local,2316237.078,11532.2395,NA,NA,0,NA,NA,0,NA,NA,1,1,6/13/2007,Gateway,29,,,NA,,,,NA
Montecito Water District,4210007,1645,Surface Water,4541,Community,Residential Area,Local,39910529.09,43615.12615,NA,NA,1,11/1/1998,NA,0,NA,NA,1,1,5/1/2007,Santa Barbara County,35,,,NA,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,12,3-4.01,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,116,3-4.10,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,1,3-4.02,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,90,3-4.04,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,73,3-4.09,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,14,3-4.06,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey County Water Resources Agency,NA,1648,NA,NA,NA,NA,NA,279682.7669,2776.221098,108,3-4.05,0,N/A,NA,1,5/22/2006,53,2,1,12/12/2012,Greater Monterey County,19,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,,NA
Monterey Park  City Of,1910092,1650,Groundwater,13216,Community,Residential Area,Local,17864536.55,22244.24556,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Monterey Peninsula Water Management District,NA,1651,NA,NA,NA,NA,NA,442675435.5,214831.8334,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Morgan Hill  City Of,4310006,1656,Groundwater,12980,Community,Residential Area,Local,27686902.08,70985.1744,NA,NA,0,NA,NA,0,NA,NA,1,1,5/19/2014,"Monterey Pensinsula, Carmel Bay, and South Monterey Bay Region",6,,,NA,,,,NA
Moro Cojo Municipal Water Agency,NA,1658,NA,NA,NA,NA,NA,24980.48277,1065.646827,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Morro Bay  City Of,4010011,1660,Surface Water Purchased,5418,Community,Residential Area,Local,15812381,30748.9047,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Moulton Niguel Water District,3010073,1663,Surface Water Purchased,52677,Community,Residential Area,Local,94980454.59,59234.18476,NA,NA,1,5/1/1994,NA,0,NA,NA,1,1,6/7/2005,South Orange County ,29,,,NA,,,,NA
Mount Shasta City Of,4710008,NA,Groundwater,1726,Community,Recreation Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1,11/25/2013,"Upper Sacramento, McCloud, and Lower Pit",16,,,NA,,,,NA
Mountain Gate Community Services District,4510002,1668,Surface Water,666,Community,Other Area,Local,187189.3588,22178.57227,NA,NA,1,1/27/1998,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mountain House Community Services District,3910027,4231,Surface Water,4186,Community,Residential Area,Local,15361429.31,25289.87334,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mountain View  City Of,4310007,1671,Surface Water Purchased,16246,Community,Residential Area,Local,31498699.24,40047.0041,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Mt Pleasant Water Users Association,NA,4402,NA,NA,NA,NA,NA,1329076.027,5166.129322,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Muir Beach Community Service District,2100508,1682,Groundwater,159,Community,Residential Area,Local,3400570.558,16586.5219,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Murrieta Community Water District,NA,1689,NA,NA,NA,NA,NA,15870216,31430.75201,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Naglee Burk Irrigation District,NA,1698,NA,NA,NA,NA,NA,11129778.02,16472.23819,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Napa  City Of,2810003,1701,Surface Water,25057,Community,Residential Area,Local,274514163.8,123382.2972,NA,NA,0,NA,NA,0,NA,NA,1,1,11/1/2006,Bay Area,19,,,NA,,,,NA
Napa County Flood Control And Water Conservation District,NA,1702,NA,NA,NA,NA,NA,2047131099,278875.1497,NA,NA,0,NA,NA,0,NA,NA,1,1,7/2/2014,Westside Sacramento,15,,,NA,,,,NA
Napa County Public Works,NA,1703,NA,NA,NA,NA,NA,8490728.861,23799.74177,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
National City,NA,1707,NA,NA,NA,NA,NA,19113116.6,44015.07954,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Needles City Of,3610032,NA,Groundwater,1914,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Nevada City  City Of,2910002,3069,Surface Water,1163,Community,Residential Area,Local,5652883.934,18945.99067,NA,NA,0,NA,NA,0,NA,NA,1,1,5/30/2014,CABY,30,,,NA,,,,NA
Nevada Irrigation District,2910004,4635,Surface Water,19698,Community,Residential Area,Local,126698520.1,71623.71488,NA,NA,0,NA,NA,0,NA,NA,1,1,12/13/2006,CABY,30,,,NA,,,,NA
New Stone Water District,NA,1726,NA,NA,NA,NA,NA,16971416.77,21291.26202,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Newell County Water District,2500801,NA,Groundwater,310,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Newhall County Water District,1910096,1727,Surface Water Purchased,9627,Community,Residential Area,Local,113109680.4,221046.4642,NA,NA,1,5/2/1996,NA,0,NA,NA,1,1,6/1/2008,Upper Santa Clara River,7,,,NA,,,,NA
Newman City Of,5010013,1729,Groundwater,3259,Community,Residential Area,Local,16961966.18,18276.71344,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Newport Beach  City Of,3010023,1730,Surface Water Purchased,26527,Community,Residential Area,Local,41532618.02,48195.11372,NA,NA,0,NA,NA,0,NA,NA,1,1,9/1/2012,Central Orange County,12,,,NA,,,,NA
Nicolaus  Town Of,NA,2841,NA,NA,NA,NA,NA,186691.5443,2616.244427,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Nipomo Community Service District,4010026,1731,Surface Water Purchased,4284,Community,Residential Area,Local,18153445.49,53726.65857,NA,NA,0,NA,NA,0,NA,NA,1,1,10/11/2005,San Luis Obispo County,26,,,NA,,,,NA
Norco City Of,3310025,NA,Surface Water Purchased,7454,Community,Other Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North Coast County Water District,4110025,1739,Surface Water Purchased,11959,Community,Residential Area,Local,29555503.62,40977.57428,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North Delta Water Agency,NA,1740,NA,NA,NA,NA,NA,1225931546,263505.5818,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North Edwards Water District,1510052,1741,Groundwater,212,Community,Residential Area,Local,4731937.005,15426.4079,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North Folsom Water District,NA,1742,NA,NA,NA,NA,NA,4028106.449,10547.79957,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North Kern Water Storage District,NA,1745,NA,NA,NA,NA,NA,320399516.9,306573.3357,21,5-22.14,1,12/17/1992,NA,0,NA,NA,1,1,7/26/2007,Poso Creek,9,,,NA,,,,NA
North Marin Water District,2110003,1748,Surface Water & Groundwater,24583,Community,Residential Area,Local,176416163.4,99398.89204,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North Of The River Municipal Water District,1510041,1749,Surface Water Purchased,1,Community,Residential Area,Local,28086071.52,32322.47966,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
North San Joaquin Water Conservation District,NA,1751,NA,NA,NA,NA,NA,215194564.4,80461.11151,NA,NA,1,9/1/1995,NA,1,9/22/2004,NA,1,1,7/25/2007,Eastern San Joaquin,13,,,NA,,,,NA
North Tahoe Public Utilities District,3110001,4671,Surface Water & Groundawter,3864,Community,Residential Area,Local,505030.6703,13712.70321,NA,NA,0,NA,NA,0,NA,NA,1,1,7/1/2014,Tahoe-Sierra,30,,,NA,,,,NA
North Yuba Water District,5810006,1753,Surface Water,784,Community,Residential Area,Local,501384611.9,218797.8397,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2008,Yuba County,27,,,NA,,,,NA
Northcrest Trailer City,NA,1754,NA,NA,NA,NA,NA,38806.18149,865.8876904,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Northstar Community Services District,3110028,1755,Surface Water & Groundwater,2571,Community,Residential Area,Local,8237343.181,42073.0669,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Norwalk  City Of,1910191,1756,Surface Water Purchased,5385,Community,Residential Area,Local,25157242.44,27658.84952,NA,NA,0,NA,NA,0,NA,NA,1,1,6/13/2007,Gateway,29,,,NA,,,,NA
Oak Flat Water District,NA,1758,NA,NA,NA,NA,NA,18231269.56,41115.72911,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Oakdale  City Of,5010014,1765,Groundwater,7115,Community,Residential Area,Local,16253540.2,37210.20997,NA,NA,1,Nov-95,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Oakdale Irrigation District,5000433,1766,Groundwater,781,Community,Residential Area,Local,292293003.7,280221.5891,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2013,Tuolomne-Stanislaus,28,,,NA,,,,NA
Oakwood Lake Water District - Subdivision,3910023,4470,Groundwater,274,Community,Wholesaler (Sells Water),Local,1473129.581,6072.584312,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Occidental Community Service District,4900536,1774,Groundwater Purchased,99,Community,Residential Area,Local,484767.688,4798.406217,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
O'cconnell Mutual Water District,NA,1775,NA,NA,NA,NA,NA,1501419.68,6183.800014,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Oceano Community Service District,4010005,1776,Surface Water Purchased,2168,Community,Residential Area,Local,4710724.886,13332.98466,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Oceanside  City Of,3710014,1777,Surface Water Purchased,43692,Community,Residential Area,Local,105580141.7,78704.03319,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Ojai Basin Groundwater Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,42827,1,10/20/1994,NA,1,5/24/2007,NA,1,1,11/29/2006,Watersheds Coalition of Ventura County,33,,,NA,,,,NA
Olcese Water District,NA,1789,NA,NA,NA,NA,NA,20363815.76,28015.49911,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Olivehurst Public Utility District,5810003,1792,Groundwater,4090,Community,Residential Area,Local,11007521.71,24221.4547,119,5-21.61,0,NA,NA,0,NA,NA,1,1,2/1/2008,Yuba County,27,,,NA,,,,12259
Olivenhain Municipal Water District,3710029,1793,Surface Water,21890,Community,Other Residential Area,Local,125922088.7,120510.5915,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Omochumne - Hartnell Water District,NA,1794,NA,NA,NA,NA,NA,31446480.26,60702.17446,NA,NA,0,NA,NA,1,11/8/2006,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Ontario  City Of,3610034,1795,Surface Water Purchased,33868,Community,Residential Area,Local,92456070.15,50979.75453,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Ora Loma Water District,NA,1796,NA,NA,NA,NA,NA,4670611.943,18281.16812,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Orange  City Of,3010027,1797,Surface Water Purchased,36329,Community,Residential Area,Local,62472051.58,86290.1766,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Orange County Water District,NA,1799,NA,NA,NA,NA,NA,1003370940,246096.9994,44,8/1/2017,1,3/1/2004,NA,1,7/15/2009,NA,3,1,6/7/2005,South Orange County ,29,4/17/2007,Santa Ana Watershed,5,2/1/2011,North Orange County,33,NA
Orange Cove  City Of,1010023,1800,Surface Water,1485,Community,Residential Area,Local,3877026.25,14468.93043,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,"2,300,000"
Orange Cove Irrigation District,NA,1801,NA,NA,NA,NA,NA,118576228.5,150944.6791,17,5-22.08,1,10/27/1997,59.5,1,6/14/2006,NA,NA,0,NA,NA,NA,,,NA,,,,643
Orchard Dale Water District,1910101,1804,Surface Water Purchased,4280,Community,Residential Area,Local,4317821.794,13371.28863,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Orick Community Service District,1200701,1807,Groundwater,139,Community,Residential Area,Local,7606198.729,15691.97854,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Orland  City Of,1110001,1810,Groundwater,2828,Community,Residential Area,Local,6287856.73,20711.76243,61,5-21.51,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Orland-Artois Water District,NA,1809,NA,NA,NA,NA,NA,146987.2721,2888.086125,57,5-21.52,1,1/1/2002,108,0,NA,NA,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,208
Orleans Community Service District,1200729,NA,Surface Water,139,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Orosi Public Utility District,5410008,1817,Groundwater,1628,Community,Residential Area,Local,3592812.267,15391.76975,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Oroville Wyandotte Irrigation District,NA,1818,NA,NA,NA,NA,NA,6799.776909,472.6574619,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Otay Water District,3710034,1821,Surface Water Purchased,48402,Community,Other Residential Area,Local,321576381.2,200856.2524,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
